id,author,quote
204,Lou Holtz,Life is ten percent what happens to you and ninety percent how you respond to it.
205,M.H. McKee,Wisdom is knowing the right path to take??Integrity is taking it.
206,Mabel Newcomber,It is more important to know where you are going than to get there quickly.
207,Mahatma Gandhi,God has no religion
208,Malcolm Forbes,Education's purpose is to replace an empty mind with an open one.
209,Marcel Proust,The real voyage of discovery consists not in seeking new lands but seeing with new eyes.
210,Margaret Millar,Most conversations are simply monologues delivered in the presence of witnesses.
211,Marilyn Manson,Times have not become more violent. They have just become more televised.
212,Mario Andretti,"If everything's under control, you're going too slow."
213,Mark Twain,All you need in this life is ignorance and confidence; then success is sure.
214,Mark Twain,The difference between the right word and the almost right word is the difference between lightning and a lightning bug.
215,Mark Twain,"Never argue with a fool, onlookers may not be able to tell the difference."
216,Mark Twain,"Most people are bothered by those passages of Scripture they do not understand, but the passages that bother me are those I do understand."
217,Mark Twain,"It is by the goodness of God that in our country we have those three unspeakably precious things: freedom of speech, freedom of conscience, and the prudence never to practice either of them."
218,Mark Twain,"Whenever you find that you are on the side of the majority, it is time to reform."
219,Marquis de Vauvenargues,"When a thought is too weak to be expressed simply, simply drop it."
220,Michael Jordan,"I can accept failure, but I can't accept not trying."
221,Michel de Montaigne,A man who fears suffering is already suffering from what he fears.
222,Muhammad Ali,"Champions aren't made in the gyms. Champions are made from something they have deep inside them?? desire, a dream, a vision."
223,Napoleon Bonaparte,"Never ascribe to malice, that which can be explained by incompetence."
224,Napoleon Bonaparte,History is the version of past events that people have decided to agree upon.
225,Napoleon Bonaparte,Never interrupt your enemy when he is making a mistake.
226,Nathaniel LeTonnerre,"I doubt one could live in the darkness, but one could probably survive."
227,Niels Bohr,The opposite of a correct statement is a false statement.  But the opposite of a profound truth may well be another profound truth.
228,Norman Mailer,"There is no greater impotence in all the world like knowing you are right and that the wave of the world is wrong, yet the wave crashes upon you."
229,Olin Miller,You probably wouldn't worry about what people think of you if you could know how seldom they do.
230,Orville Mars,The little I know I owe to my ignorance.
231,Oscar Wilde,"Imagination was given to man to compensate him for what he is not, and a sense of humor was provided to console him for what he is."
232,Oscar Wilde,Anybody can make history. Only a great man can write it.
233,Oscar Wilde,"We are all in the gutter, but some of us are looking at the stars."
234,Oscar Wilde,Experience is the name everyone gives to their mistakes.
235,Oscar Wilde,Education is an admirable thing. But it is well to remember from time to time that nothing that is worth knowing can be taught.
236,Oscar Wilde,Religions die when they are proved to be true. Science is the record of dead religions.
237,Oscar Wilde,The old believe everything; the middle-aged suspect everything; the young know everything.
238,Oscar Wilde,"Truth, in the matters of religion, is simply the opinion that has survived."
239,Oscar Wilde,The one duty we owe to history is to rewrite it.
240,Plato,"Wise men talk because they have something to say; fools, because they have to say something."
241,Proverb (African),"Do not look where you fell, but where you slipped."
242,Proverb (Buddhist),When the student is ready the teacher will appear.
243,Proverb (Chinese),"He who asks is a fool for five minutes, but he who does not ask remains a fool forever."
244,Proverb (Chinese),One dog barks at something. And a hundred dogs bark at the sound.
245,Proverb (Chinese),I hear: I forget / I see: I remember / I do: I understand
246,Proverb (Dutch),"In prosperity, caution; in adversity, patience."
247,Proverb (German),No answer is also an answer.
248,Proverb (Italian),"Once the game is over, the King and the pawn go back in the same box."
249,Proverb (Jewish),The man who has confidence in himself gains the confidence of others.
250,Proverb (Norwegian),Heroism consists of hanging on one minute longer.
251,Proverb (Zen),The obstacle is the path.
252,Proverb (Zen),"Before enlightnment, chop wood, carry water. After enlightnment, chop wood, carry water."
253,Ralph Sockman,The test of courage comes when we are in the minority. The test of tolerance comes when we are in the majority.
254,Ralph Waldo Emerson,"What I must do is all that concerns me, not what the people think."
255,Ralph Waldo Emerson,"If I have lost confidence in myself, I have the universe against me."
256,Ray Bradbury,You have to know how to accept rejection and reject acceptance.
257,Rene Decartes,Each problem that I solved became a rule which served afterwards to solve other problems.
258,Rita Mae Brown,One of the keys to happiness is a bad memory.
259,Robert Fripp,Understanding is simple. Knowing is complicated.
260,Robert Heinlein,Progress isn't made by early risers. It's made by lazy men trying to find easier ways to do something.
261,Robert Humphrey,An undefined problem has an infinite number of solutions.
262,Robert von Musli,One does what one is; one becomes what one does.
263,Ron Jeffries,"If there's only one answer, then this must not be a very interesting topic."
264,Rosalynn Carter,"You have to have confidence in your ability, and then be tough enough to follow through."
265,Sam Keen,"What shapes our lives are the questions we ask, refuse to ask, or never think to ask."
266,Samuel Johnson,Self-confidence is the first requisite to great undertakings.
267,Samuel Johnson,What is written without effort is in general read without pleasure.
268,Shunryu Suzuki,"In the beginner's mind there are many possibilities, but in the expert's there are few."
269,Simone de Beauvoir,"If you live long enough, you'll see that every victory turns into a defeat."
